"c40443h4" "c8867h4" "c82290h8" "datem" "date.month" "time" "weekday"
80 126 6.673573579 2019-04-04 2019-04-01 23:19:39 "Thursday"
76 154 3.533839371 2019-04-05 2019-04-01 10:19:09 "Friday"
76 154 1.77377804 2019-04-06 2019-04-01 14:57:46 "Saturday"
76 154 6.93957326 2019-04-06 2019-04-01 14:57:50 "Saturday"
76 154 6.93957326 2019-04-06 2019-04-01 14:57:54 "Saturday"
76 154 6.623622982 2019-04-06 2019-04-01 14:57:54 "Saturday"
76 154 5.662803544 2019-04-06 2019-04-01 14:57:56 "Saturday"
94 123 1.74149603 2019-04-06 2019-04-01 14:57:59 "Saturday"
94 123 1.731593455 2019-04-06 2019-04-01 14:58:02 "Saturday"
78 123 1.46326262 2019-04-06 2019-04-01 17:13:26 "Saturday"
78 123 1.455144224 2019-04-06 2019-04-01 17:19:32 "Saturday"
117 124 6.623622982 2019-04-06 2019-04-01 23:04:38 "Saturday"
60 146 3.136249755 2019-04-07 2019-04-01 12:43:51 "Sunday"
61 137 6.623622982 2019-04-07 2019-04-01 13:00:10 "Sunday"
61 137 6.623622982 2019-04-07 2019-04-01 13:02:30 "Sunday"
61 137 3.811947027 2019-04-07 2019-04-01 15:42:59 "Sunday"
83 141 3.81597068 2019-04-08 2019-04-01 12:58:34 "Monday"
83 141 3.811947027 2019-04-08 2019-04-01 13:25:41 "Monday"
80 153 3.257674876 2019-04-08 2019-04-01 15:52:59 "Monday"
77 153 2.858858296 2019-04-08 2019-04-01 18:14:18 "Monday"
72 153 2.353370516 2019-04-08 2019-04-01 22:22:14 "Monday"
92 138 6.623622982 2019-04-09 2019-04-01 10:45:15 "Tuesday"
88 152 3.811947027 2019-04-09 2019-04-01 11:31:39 "Tuesday"
77 152 5.662803544 2019-04-09 2019-04-01 13:56:13 "Tuesday"
