Day	Week	Date	stepsHomeBooton	stepsWorkBooton	stepsElsewhereBooton	tempDiff	stepsHomeBootoff	stepsWorkBootoff	stepsElsewhereBootoff
1	1	01-Jan-2018-Mon	494	5221	1114	1.50	2661	0	278
2	1	02-Jan-2018-Tue	638	6548	910	1.50	2790	0	219
3	1	03-Jan-2018-Wed	16	5262	1246	1.51	2557	0	236
4	1	04-Jan-2018-Thu	174	6628	571	1.53	3132	0	102
5	1	05-Jan-2018-Fri	52	6189	458	1.57	2933	0	63
6	1	06-Jan-2018-Sat	374	0	4142	1.60	4149	0	1251
7	1	07-Jan-2018-Sun	446	0	3291	1.60	3704	0	516
8	2	08-Jan-2018-Mon	70	6330	1052	1.63	2829	0	175
9	2	09-Jan-2018-Tue	106	5799	808	1.66	3044	0	67
10	2	10-Jan-2018-Wed	354	5209	878	1.63	2672	0	113
11	2	11-Jan-2018-Thu	423	5587	913	1.68	2183	0	177
12	2	12-Jan-2018-Fri	202	6700	910	1.69	2732	0	292
13	2	13-Jan-2018-Sat	581	0	3534	1.70	3920	0	563
14	2	14-Jan-2018-Sun	349	0	4103	1.71	4877	0	1208
15	3	15-Jan-2018-Mon	547	6239	701	1.73	2764	0	121
16	3	16-Jan-2018-Tue	458	5372	483	1.75	2153	0	131
17	3	17-Jan-2018-Wed	213	5050	703	1.78	2561	0	115
18	3	18-Jan-2018-Thu	114	5367	938	1.82	2764	0	97
19	3	19-Jan-2018-Fri	217	5871	692	1.83	2319	0	196
20	3	20-Jan-2018-Sat	629	0	4320	1.87	4259	0	871
21	3	21-Jan-2018-Sun	379	0	3342	1.90	3839	0	571
22	4	22-Jan-2018-Mon	258	5389	1109	1.94	2609	0	229
23	4	23-Jan-2018-Tue	475	5936	684	1.98	2109	0	84
24	4	24-Jan-2018-Wed	376	5372	1160	2.02	2817	0	119
25	4	25-Jan-2018-Thu	235	5478	523	2.06	2813	0	160
26	4	26-Jan-2018-Fri	9	5724	1263	2.08	3407	0	234
27	4	27-Jan-2018-Sat	593	0	4921	2.11	2986	0	275
28	4	28-Jan-2018-Sun	276	0	3627	2.15	2669	0	364
29	5	29-Jan-2018-Mon	283	5765	1099	2.15	2948	0	360
30	5	30-Jan-2018-Tue	442	6320	1089	2.19	2170	0	75
31	5	31-Jan-2018-Wed	352	6322	1203	2.23	2636	0	196
32	5	01-Feb-2018-Thu	415	6102	453	2.25	3062	0	118
33	5	02-Feb-2018-Fri	316	6842	835	2.27	2448	0	121
34	5	03-Feb-2018-Sat	284	0	3067	2.32	2833	0	625
35	5	04-Feb-2018-Sun	135	0	3818	2.32	5021	0	359
36	6	05-Feb-2018-Mon	181	6357	536	2.36	2787	0	86
37	6	06-Feb-2018-Tue	303	5081	778	2.38	2341	0	49
38	6	07-Feb-2018-Wed	310	5727	1160	2.42	3098	0	289
39	6	08-Feb-2018-Thu	179	6006	746	2.42	2682	0	207
40	6	09-Feb-2018-Fri	528	6365	1152	2.42	2359	0	121
41	6	10-Feb-2018-Sat	27	0	3523	2.45	4757	0	910
42	6	11-Feb-2018-Sun	190	0	4392	2.46	2708	0	404
43	7	12-Feb-2018-Mon	136	6300	1010	2.49	2364	0	248
44	7	13-Feb-2018-Tue	54	6417	1193	2.50	2957	0	87
45	7	14-Feb-2018-Wed	463	6584	462	2.53	2241	0	121
46	7	15-Feb-2018-Thu	341	6333	1089	2.53	2434	0	285
47	7	16-Feb-2018-Fri	225	6415	596	2.58	2618	0	73
48	7	17-Feb-2018-Sat	207	0	2773	2.62	4598	0	774
49	7	18-Feb-2018-Sun	266	0	3809	2.63	3566	0	1262
50	8	19-Feb-2018-Mon	28	6087	1127	2.68	2507	0	136
51	8	20-Feb-2018-Tue	455	6899	1217	2.70	2564	0	93
52	8	21-Feb-2018-Wed	366	6129	1136	2.70	2527	0	313
53	8	22-Feb-2018-Thu	57	5439	1037	2.70	3058	0	71
54	8	23-Feb-2018-Fri	329	6737	515	2.71	2937	0	57
55	8	24-Feb-2018-Sat	311	0	2901	2.73	3255	0	739
56	8	25-Feb-2018-Sun	98	0	4645	2.76	4694	0	373
57	9	26-Feb-2018-Mon	1820	5606	1140	2.87	1260	0	200
58	9	27-Feb-2018-Tue	1519	6037	1115	2.87	1035	0	103
59	9	28-Feb-2018-Wed	1332	6271	1370	2.75	1982	0	126
60	9	01-Mar-2018-Thu	1156	6528	1010	2.75	1676	0	106
61	9	02-Mar-2018-Fri	1253	5551	1345	2.64	1463	0	82
62	9	03-Mar-2018-Sat	1354	0	3106	2.63	1433	0	531
63	9	04-Mar-2018-Sun	2470	0	4258	2.57	2366	0	643
64	10	05-Mar-2018-Mon	1149	5935	573	2.48	1571	0	72
65	10	06-Mar-2018-Tue	1784	6105	928	2.48	1228	0	79
66	10	07-Mar-2018-Wed	1610	5575	836	2.61	1477	0	196
67	10	08-Mar-2018-Thu	1584	5070	1114	2.61	1435	0	280
68	10	09-Mar-2018-Fri	1528	5655	1149	2.54	1470	0	131
69	10	10-Mar-2018-Sat	1256	0	3687	2.40	1801	0	357
70	10	11-Mar-2018-Sun	1437	0	4228	2.29	1637	0	954
71	11	12-Mar-2018-Mon	2940	6219	671	2.16	11	0	160
72	11	13-Mar-2018-Tue	3051	5169	468	2.45	156	0	79
73	11	14-Mar-2018-Wed	2324	5159	1057	2.18	185	0	217
74	11	15-Mar-2018-Thu	2557	6341	590	1.94	336	0	105
75	11	16-Mar-2018-Fri	3121	6600	1009	1.81	334	0	237
76	11	17-Mar-2018-Sat	4850	0	3340	1.77	414	0	797
77	11	18-Mar-2018-Sun	3973	0	3319	1.75	637	0	798
78	12	19-Mar-2018-Mon	2878	5145	1049	1.98	335	0	262
79	12	20-Mar-2018-Tue	2562	6225	1308	1.86	353	0	152
80	12	21-Mar-2018-Wed	2817	5749	578	1.72	120	0	74
81	12	22-Mar-2018-Thu	2385	6555	950	1.43	170	0	183
