"","ts2","hour","hr.day","sq"
"1","0 : 0","0",82,1
"2","0 : 20","0",77,2
"3","0 : 40","0",79,3
"4","1 : 0","1",79,4
"5","1 : 20","1",86,5
"6","1 : 40","1",87,6
"7","2 : 0","2",79,7
"8","2 : 20","2",98,8
"9","2 : 40","2",107,9
"10","3 : 0","3",98,10
"11","3 : 20","3",104,11
"12","3 : 40","3",97,12
"13","4 : 0","4",94,13
"14","4 : 20","4",82,14
"15","4 : 40","4",105,15
"16","5 : 0","5",88,16
"17","5 : 20","5",84,17
"18","5 : 40","5",97,18
"19","6 : 0","6",94,19
"20","6 : 20","6",96,20
"21","6 : 40","6",97,21
"22","7 : 0","7",86,22
"23","7 : 20","7",97,23
"24","7 : 40","7",93,24
"25","8 : 0","8",81,25
"26","8 : 20","8",87,26
"27","8 : 40","8",101,27
"28","9 : 0","9",94,28
"29","9 : 20","9",76,29
"30","9 : 40","9",84,30
"31","10 : 0","10",77,31
"32","10 : 20","10",86,32
"33","10 : 40","10",71,33
"34","11 : 0","11",102,34
"35","11 : 20","11",68,35
"36","11 : 40","11",88,36
"37","12 : 0","12",80,37
"38","12 : 20","12",62,38
"39","12 : 40","12",77,39
"40","13 : 0","13",60,40
"41","13 : 20","13",88,41
"42","13 : 40","13",81,42
"43","14 : 0","14",61,43
"44","14 : 20","14",65,44
"45","14 : 40","14",72,45
"46","15 : 0","15",64,46
"47","15 : 20","15",70,47
"48","15 : 40","15",77,48
"49","16 : 0","16",71,49
"50","16 : 20","16",78,50
"51","16 : 40","16",60,51
"52","17 : 0","17",69,52
"53","17 : 20","17",70,53
"54","17 : 40","17",63,54
"55","18 : 0","18",81,55
"56","18 : 20","18",73,56
"57","18 : 40","18",63,57
"58","19 : 0","19",75,58
"59","19 : 20","19",74,59
"60","19 : 40","19",75,60
"61","20 : 0","20",68,61
"62","20 : 20","20",69,62
"63","20 : 40","20",65,63
"64","21 : 0","21",61,64
"65","21 : 20","21",66,65
"66","21 : 40","21",78,66
"67","22 : 0","22",78,67
"68","22 : 20","22",85,68
"69","22 : 40","22",74,69
"70","23 : 0","23",56,70
"71","23 : 20","23",69,71
"72","23 : 40","23",66,72
"73","0 : 0","0",66,73
