Dialogue	Step	BranchLevel	Comment	Print	CondJmp	Media	Actions	Var
p1u	1		Triggered by the user pressing a button that says something like "Discuss the information with the app" while the user is looking at p1's data	Which time period would you like to look at?	Week 1 to week 8;101|Week 9 to week 10;102|Week 11 to week 12;103|Week 7 to week 10;104			
p1u	101			Ok, let's look at week 1 to week 8 then. 				
p1u	9101		Case1: User selects any period across the first 8 weeks, where there has been a steady increase in temperature difference.	We can see that the temperature difference between your healthy foot and your foot ulcer increased. This means it's likely that your foot ulcer has been getting worse. Would you like us to look together at the data more closely and see if we can understand why your foot ulcer has been getting worse?	Yes;201|No;601			
p1u	201		If Yes, then	Let's look at the data that shows how often you wear your boot when you are at home, when you are at work and when you are out. 			HighlightData	
p1u	301			We can see that during this time period you often didn’t wear your boot while you were at home.			HighlightData	
p1u	9301			We can see that you take around {{p1u1stepsHome}} steps a week while you are at home. Because you weren't wearing your boot much at home, this means that you weren't wearing your boot for many of the steps you took.				
p1u	401			In total you only wore your boot for {{p1u1stepsPercTotal}}% of the steps you took. It's likely that your foot ulcer has got worse because you haven't been wearing your boot as much as you should.			HighlightData	
p1u	501			For the best chance of a good recovery, you should wear your boot all the time you are active. This means you need to wear it when you are at home as well as when you go out.				
p1u	9501			Thanks for talking with me. I hope this has been helpful. Bye!	END;0			
p1u	601		If No, then	Why not?	Because I don't have time right now;701|Because I don't understand what you mean;801|Because I don’t like you;1401			
p1u	701	2	If Because I don't have time right now, then	Ok, we can speak again later if you like. Bye!	END;0			
p1u	801	2	If Because I don't understand what you mean, then	If we look at the information I’ve been collecting about your foot then we can see whether there’s anything you have been doing that could be stopping your ulcer from healing. Would you like us to do this now?	Yes;901|No;1301			
p1u	901	3	If Yes, then	Let's look at the data that shows how often you wear your boot when you are at home, when you are at work and when you are out. 			HighlightData	
p1u	9901			We can see that you often didn’t wear your boot while you were at home.				
p1u	91001			We can see that you take around {{p1u1stepsHome}} steps a week while you are at home. Because you weren't wearing your boot much at home, this means that you weren't wearing your boot for many of the steps you took.				
p1u	1101	3		In total you only wore your boot for {{p1u1stepsPercTotal}}% of the steps you took. It's likely that your foot ulcer has got worse because you haven't been wearing your boot as much as you should.			HighlightData	
p1u	1201	3		For the best chance of a good recovery, you should wear your boot all the time you are active. This means you need to wear it when you are at home as well as when you go out.				
p1u	91201			Thanks for talking with me. I hope this has been helpful.	END;0			
p1u	1301	3	If No, then	Ok, you know where I am if you need me. Bye!	END;0			
p1u	1401	2	If Because I don’t like you, then	I’m sorry to hear that, I want to be helpful. I’m always here if you need me. Bye.	END;0			
p1u	102		Case2: User selects any period across weeks 9 and 10, where there has been a modest decrease in temperature difference.	Ok, let's look at week 9 to week 10 then. 				
p1u	9102			We can see that the temperature difference between your healthy foot and your foot ulcer decreased a bit. This means it's likely that your foot ulcer has been getting better. Would you like us to look together at the data more closely and see if we can understand why your foot ulcer has been getting better? 	Yes;202|No;502			
p1u	202		If Yes, then	Let's look at the data that shows how often you wear your boot when you are at home, when you are at work and when you are out. 			HighlightData	
p1u	9202			We can see that you always wear your boot while you were at work. We can also see that you were wearing your boot for quite a lot of the steps you took while you were at home. And you almost always wear your boot while you are out.				
p1u	302			In total you were  wearing your boot for {{p1u2stepsPercTotal}}% of the steps you took. It's likely your ulcer has started to improve because you have been wearing your boot quite a lot of the time.			HighlightData	
p1u	402			For the best chance of a good recovery, you should wear your boot all the time you are active. 				
p1u	9402			Thanks for talking with me. I hope this has been helpful. Bye!	END;0			
p1u	502		If No, then	Why not?	Because I’m busy;602|Because it’s boring;702			
p1u	602	2	If Because I’m busy, then	Ok, you know where I am if you need me. Bye!	END;0			
p1u	702	2	If Because it’s boring, then	It will only take a minute or two and it might help you understand more about how foot ulcers heal. Are you sure we can’t spend a few minutes looking at this together?	Ok;802|No, I don’t want to;1102			
p1u	802	2	If Ok, then	Let's look at the data that shows how often you wear your boot when you are at home, when you are at work and when you are out. 			HighlightData	
p1u	9802			We can see that during this time period you always wore your boot while you were at work. We can also see that you wore your boot for quite a lot of the steps you took while you were at home. And you almost always wear your boot while you are out.				
p1u	902	2		In total you were wearing your boot for {{p1u2stepsPercTotal}}% of all the steps you took. It's likely your ulcer has started to improve because you have been wearing your boot so much.			HighlightData	
p1u	1002	2		For the best chance of a good recovery, you should wear your boot all the time you are active. 				
p1u	91002			Thanks for talking with me. I hope this has been helpful. Bye!	END;0			
p1u	1102	3	If No I don’t want to, then	Ok, we can speak again later if you like. Bye!	END;0			
p1u	103		Case3: User selects any period across weeks 11 and 12, where there has been a sharp decrease in temperature difference.	Ok, let's look at week 11 to week 12 then. 				
p1u	9103			We can see that the temperature difference between your healthy foot and your foot ulcer decreased. This means it's likely that your foot ulcer has been getting better. Would you like us to look together at the data more closely and see if we can understand why your foot ulcer has been getting better? 	Yes;203|No;503			
p1u	203		If Yes, then	Let's look at the data that shows how often you wear your boot when you are at home, when you are at work and when you are out. 			HighlightData	
p1u	9203			We can see that you always wore your boot while you were at work. We can also see that you were wearing your boot for most of the steps you took while you were at home. And you almost always wear your boot while you are out.				
p1u	303			In total you were wearing your boot for {{p1u3stepsPercTotal}}% of the steps you took over this period. This is great!			HighlightData	
p1u	403			You should keep wearing your boot! For the best chance of a good recovery, you should wear your boot all the time you are active.				
p1u	9403			Thanks for talking with me. I hope this has been helpful. Bye!	END;0			
p1u	503		If No, then	Why not?	Because I’m busy;603|Because I don’t need you to explain it to me;703			
p1u	603	2	If Because I’m busy, then	Ok, you know where I am if you need me. Bye!	END;0			
p1u	703	2	If Because I don’t need you to explain it to me, then	That’s great. Remember I’m here if you ever do have any questions. Bye!	END;0			
p1u	104		Case4: User selects any period that crosses the boundary of week 8 and 9, where the temperature difference switches from increasing to decreasing.	Ok, let's look at week 7 to week 10 then. 				
p1u	9104			We can see that in weeks 7 and 8, the temperature difference between your healthy foot and your foot ulcer increased. This means it's likely that your foot ulcer has been getting worse. But in weeks 9 and 10, the temperature difference between your healthy foot and your foot ulcer decreased. This means it's likely that your foot ulcer has been getting better. Would you like us to look together at the data more closely and see if we can understand why your foot ulcer has been getting better? 	Yes;204|No;704			
p1u	204		If Yes, then	Let's look at the data that shows how often you wear your boot when you are at home, when you are at work and when you are out. 			HighlightData	
p1u	304			We can see that up in weeks 7 and 8, you usually didn't wear your boot at home, even though you took around {{p1u4stepsHome}} steps a week at home.			HighlightData	
p1u	404			In total you only wore your boot for {{p1u4stepsPercTotalA}}% of the steps you took. It's likely that your foot ulcer has got worse because you haven't been wearing your boot as much as you should.			HighlightData	
p1u	9404			There was a change at the end of week 8 and you started wearing your boot more often while you were at home.				
p1u	504			In weeks 9 and 10, you wore your boot for {{p1u4stepsPercTotalB}}% of the steps you took.  It's likely that your foot ulcer started to improve because you started wearing your boot more.			HighlightData	
p1u	604			For the best chance of a good recovery, you should wear your boot all the time you are active. This means you need to wear it when you are at home as well as when you go out.				
p1u	9604			Thanks for talking with me. I hope this has been helpful.	END;0			
p1u	704		If No, then	Ok, I’ll ask you again later. Bye!	Because I’m busy;804|Because I don’t need you to explain it to me;904			
p1u	804	2	If Because I’m busy, then	Ok, you know where I am if you need me. Bye!	END;0			
p1u	904	2	If Because I don’t need you to explain it to me, then	That’s great. Remember I’m here if you ever do have any questions. Bye!	END;0			
