Day	homeBooton	Steps	Location	Week	Weekday	Boot
1	stepsHomeBooton	1940	Home	1	1	On
2	stepsHomeBooton	390	Home	1	2	On
3	stepsHomeBooton	99	Home	1	3	On
4	stepsHomeBooton	2419	Home	1	4	On
5	stepsHomeBooton	2259	Home	1	5	On
6	stepsHomeBooton	3306	Home	1	6	On
7	stepsHomeBooton	1161	Home	1	7	On
8	stepsHomeBooton	432	Home	2	1	On
9	stepsHomeBooton	1653	Home	2	2	On
10	stepsHomeBooton	118	Home	2	3	On
11	stepsHomeBooton	3717	Home	2	4	On
12	stepsHomeBooton	716	Home	2	5	On
13	stepsHomeBooton	180	Home	2	6	On
14	stepsHomeBooton	1898	Home	2	7	On
15	stepsHomeBooton	68	Home	3	1	On
16	stepsHomeBooton	484	Home	3	2	On
17	stepsHomeBooton	390	Home	3	3	On
18	stepsHomeBooton	299	Home	3	4	On
19	stepsHomeBooton	1287	Home	3	5	On
20	stepsHomeBooton	254	Home	3	6	On
21	stepsHomeBooton	1948	Home	3	7	On
22	stepsHomeBooton	1047	Home	4	1	On
23	stepsHomeBooton	1056	Home	4	2	On
24	stepsHomeBooton	1204	Home	4	3	On
25	stepsHomeBooton	260	Home	4	4	On
26	stepsHomeBooton	585	Home	4	5	On
27	stepsHomeBooton	868	Home	4	6	On
28	stepsHomeBooton	323	Home	4	7	On
29	stepsHomeBooton	327	Home	5	1	On
30	stepsHomeBooton	415	Home	5	2	On
31	stepsHomeBooton	217	Home	5	3	On
32	stepsHomeBooton	757	Home	5	4	On
33	stepsHomeBooton	1019	Home	5	5	On
34	stepsHomeBooton	3183	Home	5	6	On
35	stepsHomeBooton	1206	Home	5	7	On
36	stepsHomeBooton	68	Home	6	1	On
37	stepsHomeBooton	2795	Home	6	2	On
38	stepsHomeBooton	2541	Home	6	3	On
39	stepsHomeBooton	2094	Home	6	4	On
40	stepsHomeBooton	355	Home	6	5	On
41	stepsHomeBooton	889	Home	6	6	On
42	stepsHomeBooton	928	Home	6	7	On
43	stepsHomeBooton	2204	Home	7	1	On
44	stepsHomeBooton	1349	Home	7	2	On
45	stepsHomeBooton	2673	Home	7	3	On
46	stepsHomeBooton	4297	Home	7	4	On
47	stepsHomeBooton	203	Home	7	5	On
48	stepsHomeBooton	28	Home	7	6	On
49	stepsHomeBooton	3222	Home	7	7	On
50	stepsHomeBooton	2734	Home	8	1	On
51	stepsHomeBooton	405	Home	8	2	On
52	stepsHomeBooton	186	Home	8	3	On
53	stepsHomeBooton	624	Home	8	4	On
54	stepsHomeBooton	329	Home	8	5	On
55	stepsHomeBooton	3613	Home	8	6	On
56	stepsHomeBooton	279	Home	8	7	On
57	stepsHomeBooton	2076	Home	9	1	On
58	stepsHomeBooton	835	Home	9	2	On
59	stepsHomeBooton	3826	Home	9	3	On
60	stepsHomeBooton	380	Home	9	4	On
61	stepsHomeBooton	1978	Home	9	5	On
62	stepsHomeBooton	396	Home	9	6	On
63	stepsHomeBooton	4085	Home	9	7	On
64	stepsHomeBooton	1175	Home	10	1	On
65	stepsHomeBooton	2683	Home	10	2	On
66	stepsHomeBooton	448	Home	10	3	On
67	stepsHomeBooton	203	Home	10	4	On
68	stepsHomeBooton	687	Home	10	5	On
69	stepsHomeBooton	470	Home	10	6	On
70	stepsHomeBooton	381	Home	10	7	On
71	stepsHomeBooton	552	Home	11	1	On
72	stepsHomeBooton	325	Home	11	2	On
73	stepsHomeBooton	1466	Home	11	3	On
74	stepsHomeBooton	2212	Home	11	4	On
75	stepsHomeBooton	4467	Home	11	5	On
76	stepsHomeBooton	75	Home	11	6	On
77	stepsHomeBooton	198	Home	11	7	On
78	stepsHomeBooton	2688	Home	12	1	On
79	stepsHomeBooton	2689	Home	12	2	On
80	stepsHomeBooton	2328	Home	12	3	On
81	stepsHomeBooton	326	Home	12	4	On
82	stepsHomeBooton	293	Home	12	5	On
83	stepsHomeBooton	541	Home	12	6	On
84	stepsHomeBooton	459	Home	12	7	On
1	stepsHomeBootoff	2025	Home	1	1	Off
2	stepsHomeBootoff	247	Home	1	2	Off
3	stepsHomeBootoff	2243	Home	1	3	Off
4	stepsHomeBootoff	2277	Home	1	4	Off
5	stepsHomeBootoff	2012	Home	1	5	Off
6	stepsHomeBootoff	569	Home	1	6	Off
7	stepsHomeBootoff	1189	Home	1	7	Off
8	stepsHomeBootoff	1827	Home	2	1	Off
9	stepsHomeBootoff	133	Home	2	2	Off
10	stepsHomeBootoff	63	Home	2	3	Off
11	stepsHomeBootoff	1126	Home	2	4	Off
12	stepsHomeBootoff	707	Home	2	5	Off
13	stepsHomeBootoff	2354	Home	2	6	Off
14	stepsHomeBootoff	1021	Home	2	7	Off
15	stepsHomeBootoff	102	Home	3	1	Off
16	stepsHomeBootoff	978	Home	3	2	Off
17	stepsHomeBootoff	191	Home	3	3	Off
18	stepsHomeBootoff	2544	Home	3	4	Off
19	stepsHomeBootoff	39	Home	3	5	Off
20	stepsHomeBootoff	275	Home	3	6	Off
21	stepsHomeBootoff	1220	Home	3	7	Off
22	stepsHomeBootoff	661	Home	4	1	Off
23	stepsHomeBootoff	783	Home	4	2	Off
24	stepsHomeBootoff	1664	Home	4	3	Off
25	stepsHomeBootoff	2492	Home	4	4	Off
26	stepsHomeBootoff	1076	Home	4	5	Off
27	stepsHomeBootoff	2863	Home	4	6	Off
28	stepsHomeBootoff	1240	Home	4	7	Off
29	stepsHomeBootoff	409	Home	5	1	Off
30	stepsHomeBootoff	901	Home	5	2	Off
31	stepsHomeBootoff	266	Home	5	3	Off
32	stepsHomeBootoff	2062	Home	5	4	Off
33	stepsHomeBootoff	1007	Home	5	5	Off
34	stepsHomeBootoff	2240	Home	5	6	Off
35	stepsHomeBootoff	903	Home	5	7	Off
36	stepsHomeBootoff	107	Home	6	1	Off
37	stepsHomeBootoff	543	Home	6	2	Off
38	stepsHomeBootoff	263	Home	6	3	Off
39	stepsHomeBootoff	1454	Home	6	4	Off
40	stepsHomeBootoff	2516	Home	6	5	Off
41	stepsHomeBootoff	25	Home	6	6	Off
42	stepsHomeBootoff	1973	Home	6	7	Off
