day number	week number	date and time	timestamp	% of day boot on	% of day boot off	hours with boot on	hours with boot off	maximum number of walking steps given hours with boot on	maximum number of walking steps given hours with boot off	number of steps with boot on	number of steps with boot off	total number of steps	temperature difference between feet (deg C)	hours at work	hours at home	hours elsewhere	% of day at work	% of day at home	% of day elsewhere	% of time at work with boot on	% of time at work with boot off	% of time at home with boot on	% of time at home with boot off	% of time elsewhere with boot on	% of time elsewhere with boot off
1	1	01-Jan-18 0:00	1514764800	0.7	0.3	16.8	7.2	120960	51840	115194	38429	153623	0.21	3	16	5	0.13	0.67	0.21	0.86	0.14	0.56	0.44	0.54	0.46
2	1	02-Jan-18 0:00	1514851200	0.95	0.05	22.8	1.2	164160	8640	112526	7782	120308	1.51	9	14	1	0.38	0.58	0.04	0.7	0.3	0.24	0.76	0.51	0.49
3	1	03-Jan-18 0:00	1514937600	0.42	0.58	10.08	13.92	72576	100224	64474	42790	107264	0.95	4	1	19	0.17	0.04	0.79	0.61	0.39	0.42	0.58	0.36	0.64
4	1	04-Jan-18 0:00	1515024000	0.87	0.13	20.88	3.12	150336	22464	120521	1510	122031	1.4	4	2	18	0.17	0.08	0.75	0.6	0.4	0.06	0.94	0.7	0.3
5	1	05-Jan-18 0:00	1515110400	0.91	0.09	21.84	2.16	157248	15552	51836	10294	62130	0.02	9	12	3	0.38	0.5	0.13	0.21	0.79	0.12	0.88	0.22	0.78
6	1	06-Jan-18 0:00	1515196800	0.37	0.63	8.88	15.12	63936	108864	33219	69667	102886	0.43	4	1	19	0.17	0.04	0.79	0.95	0.05	0.75	0.25	0.85	0.15
7	1	07-Jan-18 0:00	1515283200	0.66	0.34	15.84	8.16	114048	58752	51916	58099	110015	0.04	1	19	4	0.04	0.79	0.17	0.54	0.46	0.79	0.21	0.32	0.68
8	2	08-Jan-18 0:00	1515369600	0.23	0.77	5.52	18.48	39744	133056	13987	130055	144042	0	1	21	2	0.04	0.88	0.08	0.31	0.69	0.87	0.13	0.65	0.35
9	2	09-Jan-18 0:00	1515456000	0.03	0.97	0.72	23.28	5184	167616	4935	69693	74628	1.06	9	7	8	0.38	0.29	0.33	0.53	0.47	0.12	0.88	0.33	0.67
10	2	10-Jan-18 0:00	1515542400	0.32	0.68	7.68	16.32	55296	117504	3645	6987	10632	1.7	7	4	13	0.29	0.17	0.54	0.87	0.13	0.5	0.5	0.89	0.11
11	2	11-Jan-18 0:00	1515628800	0.17	0.83	4.08	19.92	29376	143424	15638	83561	99199	1.88	2	12	10	0.08	0.5	0.42	0.41	0.59	0.59	0.41	0.64	0.36
12	2	12-Jan-18 0:00	1515715200	0.32	0.68	7.68	16.32	55296	117504	40131	52099	92230	1	8	8	8	0.33	0.33	0.33	0.91	0.09	0.95	0.05	0.27	0.73
13	2	13-Jan-18 0:00	1515801600	0.96	0.04	23.04	0.96	165888	6912	12089	5585	17674	0.42	0	11	13	0	0.46	0.54	0.43	0.57	0.67	0.33	0.14	0.86
14	2	14-Jan-18 0:00	1515888000	0.72	0.28	17.28	6.72	124416	48384	109315	41538	150853	1.32	8	3	13	0.33	0.13	0.54	0.12	0.88	0.72	0.28	0.89	0.11
15	3	15-Jan-18 0:00	1515974400	0.22	0.78	5.28	18.72	38016	134784	17509	100343	117852	0.17	8	1	15	0.33	0.04	0.63	0.3	0.7	0.53	0.47	0.7	0.3
16	3	16-Jan-18 0:00	1516060800	0.13	0.87	3.12	20.88	22464	150336	12805	28601	41406	1.75	7	9	8	0.29	0.38	0.33	0.14	0.86	0.55	0.45	0.29	0.71
17	3	17-Jan-18 0:00	1516147200	0.94	0.06	22.56	1.44	162432	10368	149729	5619	155348	1.38	10	2	12	0.42	0.08	0.5	0.87	0.13	0.41	0.59	0.99	0.01
18	3	18-Jan-18 0:00	1516233600	0.32	0.68	7.68	16.32	55296	117504	35123	12534	47657	1.2	2	8	14	0.08	0.33	0.58	0.05	0.95	0.38	0.62	0.33	0.67
19	3	19-Jan-18 0:00	1516320000	0.45	0.55	10.8	13.2	77760	95040	70923	35697	106620	1.75	7	17	0	0.29	0.71	0	0.52	0.48	0.65	0.35	0.46	0.54
20	3	20-Jan-18 0:00	1516406400	0.48	0.52	11.52	12.48	82944	89856	6640	317	6957	1.14	4	6	14	0.17	0.25	0.58	0.59	0.41	0.08	0.92	0.16	0.84
21	3	21-Jan-18 0:00	1516492800	0.89	0.11	21.36	2.64	153792	19008	5449	2213	7662	0.4	3	20	1	0.13	0.83	0.04	0.43	0.57	0.15	0.85	0.52	0.48
22	4	22-Jan-18 0:00	1516579200	0.95	0.05	22.8	1.2	164160	8640	101771	5856	107627	1.78	6	14	4	0.25	0.58	0.17	0.42	0.58	0.63	0.37	0.86	0.14
23	4	23-Jan-18 0:00	1516665600	0.7	0.3	16.8	7.2	120960	51840	65191	22859	88050	0.56	0	17	7	0	0.71	0.29	0.93	0.07	0.94	0.06	0.61	0.39
24	4	24-Jan-18 0:00	1516752000	0.37	0.63	8.88	15.12	63936	108864	46952	102698	149650	0.39	0	4	20	0	0.17	0.83	0.45	0.55	0.48	0.52	0.92	0.08
