day	steps-home-booton	steps-home-bootoff	steps-work-booton	steps-work-bootoff	steps-elsewhere-booton	steps-elsewhere-bootoff	temp-diff
1	1940	2025	512	1115	1656	2339	0.7
2	390	247	4234	568	1558	2438	2.4
3	99	2243	1184	27	585	394	0
4	2419	2277	79	507	406	5089	2
5	2259	2012	1040	98	1204	62	0.2
6	3306	569	583	1039	3272	60	1.1
7	1161	1189	454	855	721	4947	1.5
8	432	1827	735	2057	2091	629	1.6
9	1653	133	148	975	855	743	2.5
10	118	63	2671	287	2049	673	0.3
11	3717	1126	178	1334	830	310	2.2
12	716	707	411	335	1879	810	0.8
13	180	2354	857	1435	3013	1790	1.9
14	1898	1021	93	674	88	1039	1.9
15	68	102	1478	2401	1907	2161	0
16	484	978	70	157	2731	3126	0.1
17	390	191	129	182	3258	1340	0.1
18	299	2544	1113	1894	3775	855	1.7
19	1287	39	22	155	2364	284	0.9
20	254	275	1906	1568	2463	2977	2.1
21	1948	1220	324	140	189	834	2.5
22	1047	661	63	311	2208	55	1.5
23	1056	783	831	2787	819	1699	1.5
24	1204	1664	725	150	2182	4518	0.7
25	260	2492	52	67	1621	198	0
26	585	1076	915	990	1912	386	1.1
27	868	2863	861	694	226	4108	0.2
28	323	1240	1205	187	651	1540	0.9
29	327	409	2156	158	552	1360	1
30	415	901	734	796	937	1405	0.7
31	217	266	244	4796	3328	2060	2.4
32	757	2062	115	480	70	4319	0.3
33	1019	1007	194	175	2805	1233	2.8
34	3183	2240	1110	416	169	2345	1.9
35	1206	903	378	2416	970	3879	2.5
36	68	107	1082	1745	693	1319	1
37	2795	543	566	1546	730	2253	0.3
38	2541	263	736	106	289	556	1.6
39	2094	1454	1438	383	646	1311	1
40	355	2516	2436	1754	1908	1489	1.3
41	889	25	302	2402	4166	625	2.6
42	928	1973	261	596	370	835	2.1
43	2204	613	83	2410	1170	3606	2.5
44	1349	2004	1639	2274	2334	890	2.4
45	2673	1032	46	222	814	2714	1
46	4297	780	890	1606	798	1323	0.6
47	203	2454	887	210	5801	1436	2.2
48	28	1355	430	403	48	2782	0.9
49	3222	183	459	409	728	905	1.6
50	2734	1987	7	801	672	990	2.1
51	405	1603	588	806	244	996	2.1
52	186	2041	180	1079	806	56	1.7
53	624	653	639	886	1762	2415	1.7
54	329	138	553	2294	5	5443	1.3
55	3613	2309	1	57	1818	775	2.3
56	279	595	473	136	121	3574	2.4
57	2076	994	123	8	1501	352	1.6
58	835	1486	448	3366	422	2247	1.3
59	3826	1125	167	28	1187	3886	0.5
60	380	211	1128	766	1242	284	2.5
61	1978	1109	217	186	1494	175	0.3
62	396	1339	464	1542	5269	297	1.4
63	4085	913	103	644	2731	324	0.4
64	1175	48	595	3115	173	3080	2.7
65	2683	624	321	24	267	888	2.8
66	448	2019	497	154	280	3283	1.4
67	203	184	1632	104	1679	1800	1.2
68	687	272	833	180	1094	1299	2
69	470	1829	272	975	1764	1991	0.1
70	381	2053	1661	100	1034	688	2.2
71	552	546	562	988	2861	1495	2.6
72	325	1348	1118	719	323	2139	1.3
73	1466	667	388	782	2336	1508	0.9
74	2212	441	109	254	3104	602	0.9
75	4467	794	1311	317	1155	791	0.1
76	75	2472	720	437	922	329	0
77	198	1731	373	2800	3663	581	2.5
78	2688	2896	1314	483	2383	20	1.3
79	2689	486	114	312	952	53	1.8
80	2328	431	170	654	371	246	0.6
81	326	2149	462	248	684	838	2.1
82	293	158	113	649	1943	2322	1.4
83	541	2511	2202	297	1755	2177	2.5
84	459	2186	942	1576	331	2665	0.7
