Dialogue	Step	BranchLevel	Comment	Print	CondJmp	Media	Actions	Var
p1u	1		Triggered by the user pressing a button that says something like "Discuss the information with the app" while the user is looking at p1's data	Which time period would you like to look at?	Week 1 to week 8;101|Week 9 to week 10;102|Week 11 to week 12;103|Week 7 to week 10;104			
p1u	101			Ok, let's look at week 1 to week 8 then. You need to XXXXX				
p1u	9101		Case1: User selects any period across the first 8 weeks, where there has been a steady increase in temperature difference.	We can see that the temperature difference between {{p1name}}'s healthy foot and {{p1name}}'s foot ulcer increased. This means it's likely that {{p1name}}'s foot ulcer has been getting worse. Would you like us to look together at the data more closely and see if we can understand why {{p1name}}'s foot ulcer has been getting worse?	Yes;201|No;601			
p1u	201		If Yes, then	Let's look at the data that shows how often {{p1name}} wears {{p1posspronoun}} boot when {{p1pronoun}} is at home, when {{p1pronoun}} is at work and when {{p1pronoun}} is out. You need to XXXXX			HighlightData	
p1u	9201			We can see that during this time period {{p1name}} often didn’t wear {{p1posspronoun}} boot while {{p1pronoun}} was at home.				
p1u	301			Now look at the data that shows how many of steps {{p1name}} takes in different locations (home, at work, or when {{p1pronoun}} is out). You need to XXXXX			HighlightData	steps;2000
	9301			We can see that {{p1name}} takes around {{p1u1stepsHome}} steps a week while {{p1pronoun}} is at home. Because {{p1name}} wasn't wearing {{p1posspronoun}} boot much at home, this means that {{p1pronoun}} wasn't wearing {{p1posspronoun}} boot for many of the steps {{p1pronoun}} took.				
p1u	401			In total {{p1name}} only wore {{p1posspronoun}} boot for {{p1u1stepsPercTotal}}% of the steps {{p1pronoun}} took. It's likely that {{p1name}'s foot ulcer has got worse because {{p1pronoun}} hasn't been wearing {{p1posspronoun}} boot as much as {{p1pronoun}} should.			HighlightData	stepsPerc;28
p1u	501			For the best chance of a good recovery, {{p1name}} should wear {{p1posspronoun}} boot all the time {{p1pronoun}} is active. This means {{p1name}} needs to wear it when {{p1pronoun}} is at home as well as when {{p1pronoun}} goes out.				
p1u	9501			Thanks for talking with me. I hope this has been helpful. Bye!	END;0			
p1u	601		If No, then	Why not?	Because I don't have time right now;701|Because I don't understand what you mean;801|Because I don’t like you;1401			
p1u	701	2	If Because I don't have time right now, then	Ok, we can speak again later if you like. Bye!	END;0			
p1u	801	2	If Because I don't understand what you mean, then	If we look at the information I’ve been collecting about {{p1name}}'s foot then we can see whether there’s anything {{p1name}} has been doing that could be stopping {{p1posspronoun}} ulcer from healing. Would you like us to do this now?	Yes;901|No;1301			
p1u	901	3	If Yes, then	Let's look at the data that shows how often {{p1name}} wears {{p1posspronoun}} boot when {{p1pronoun}} is at home, when {{p1pronoun}} is at work and when {{p1pronoun}} is out. You need to XXXXX			HighlightData	
p1u	9901			We can see that {{p1name}} often didn’t wear {{p1posspronoun}} boot while {{p1pronoun}} was at home.				
p1u	1001	3		Now look at the data that shows how many of steps {{p1name}} takes in different locations (home, at work, or when {{p1pronoun}} is out). You need to XXXX			HighlightData	steps;2000
p1u	91001			We can see that {{p1name}} takes around {{p1u1stepsHome}} steps a week while {{p1pronoun}} is at home. Because {{p1name}} wasn't wearing {{p1posspronoun}} boot much at home, this means that {{p1pronoun}} wasn't wearing {{p1posspronoun}} boot for many of the steps {{p1pronoun}} took.				
p1u	1101	3		In total {{p1name}} only wore {{p1posspronoun}} boot for {{p1u1stepsPercTotal}}% of the steps {{p1pronoun}} took. It's likely that {{p1name}'s foot ulcer has got worse because {{p1pronoun}} hasn't been wearing {{p1posspronoun}} boot as much as {{p1pronoun}} should.			HighlightData	stepsPerc;28
p1u	1201	3		For the best chance of a good recovery, {{p1name}} should wear {{p1posspronoun}} boot all the time {{p1pronoun}} is active. This means {{p1name}} needs to wear it when {{p1pronoun}} is at home as well as when {{p1pronoun}} goes out.				
p1u	91201			Thanks for talking with me. I hope this has been helpful.	END;0			
p1u	1301	3	If No, then	Ok, you know where I am if you need me. Bye!	END;0			
p1u	1401	2	If Because I don’t like you, then	I’m sorry to hear that, I want to be helpful. I’m always here if you need me. Bye.	END;0			
p1u	102		Case2: User selects any period across weeks 9 and 10, where there has been a modest decrease in temperature difference.	Ok, let's look at week 9 to week 10 then. You need to XXXXX				
